"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"246","NUPE","Nuptse East I",NA,"Khumbu Himal (E of Nuptse main summit)",7795,25574,12,2,TRUE,FALSE,FALSE,NA,"Requires permit for Nuptse",1,2,"878","2003",3,"NUPE03301","Nov 02","Russia","Valeri Babanov, Yuri Kochelenko",NA,NA,NA
"247","AMOT","Amotsang","Amatson","Damodar Himal (NW of Pokharhan)",6393,20974,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"880",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"248","YANS","Yansa Tsenji","Dragpoche, Dhagpache","Langtang Himal (SW of Shalbachum on Tibetan border)",6567,21545,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"882",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"249","HIMJ","Himjung","Nemjung Goth","Peri Himal (S of Himlung Himal)",7092,23268,18,5,TRUE,FALSE,FALSE,"20","Opened in 2002",1,2,"885","2012",3,"HIMJ12301","Oct 12","S Korea","Kim Chang-Ho, An Chi-Young",NA,NA,NA
"250","AMPH","Amphu I",NA,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,22113,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"888","2013",3,"AMPH13301","Oct 09","S Korea","Ahn Il-Evn, An Chi-Young, Kim Young-Mi, Oh Young-Hoon",NA,NA,NA
"251","CHAB","Chabuk","Tsajirip","Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border)",6792,22283,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"890",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"252","CHAK","Chako",NA,"Damodar Himal (ESE of Bhrikuti Shail)",6704,21995,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"892","2007",2,"CHAK07201","Jul 24","Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",NA,NA,NA
"253","DOMK","Dome Kang",NA,"Jongsang Himal (ESE of Jongsong on Indian border)",7264,23832,7,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",5,2,"893","2009",1,"DOMK09101","Apr 28","Spain, Nepal","Emilio Lagunilla, Carlos Soria, Chhang Dawa Sherpa, Karma Gyalzen Sherpa, Halung Dorchi Sherpa",NA,NA,NA
"254","GHAN","Ghhanyala Hies",NA,"Janak Himal (NW of Janak Chuli on Tibetan border)",6744,22126,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"895",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"255","HUNK","Hunku",NA,"Khumbu Himal (NNE of Peak 41)",6119,20075,12,2,FALSE,TRUE,FALSE,NA,"Opened in 2002, delisted in 2013?",1,2,"897","2012",3,"HUNK12302","Nov 11","UK","Nick Bullock, Andy Houseman",NA,NA,NA
